Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Kawasaki ER-6
              ","
$ 7 000
                                                             
                                                                                   615 440 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/0/1/101bf48e6cdaff970bc4b462d6213f14_240x180.jpg,        мотоцикл                    
"
        Honda Monkey
              ","
$ 4 000
                                                             
                                                                                   351 680 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/7/1/d718eb88b27af732b5b750e9d3c0e0f8_240x180.jpg,        мотоцикл                    
"
        Zongshen LZX
              ","
$ 1 900
                                                             
                                                                                   167 048 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/b/55bb7c0e4265646fe125d444ce35aadc_240x180.jpg,        мотоцикл                    
"
        BRP Maverick
              ","
$ 25 000
                                                             
                                                                                   2 198 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/0/9/c094f678e5990f79ad0c2461f370df08_240x180.jpg,        мотовездеход                    
"
        Kawasaki ZZR
              ","
$ 2 957
                                                             
                                                                                   260 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/4/4/744e73e2a793875dc67f77011e0f7577_240x180.jpg,        мотоцикл                    
"
        Yamaha FZS 600
              ","
$ 3 600
                                                             
                                                                                   316 512 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/a/0/6a05ce6ba5ba952e2fa31265c2a500ef_240x180.jpg,        мотоцикл                    
"
        Honda CB 600
              ","
$ 3 800
                                                             
                                                                                   334 096 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/4/5/845efffe64d8feaf553d13453e3fe414_240x180.jpg,        мотоцикл                    
"
        Kawasaki VN 900
              ","
$ 5 700
                                                             
                                                                                   501 144 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/4/4/f44ea3317a056b20a159dd501b83d9ec_240x180.jpg,        мотоцикл                    
"
        ИЖ Планета
              ","
$ 35 000
                                                             
                                                                                   3 077 200 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/6/1/c61c6cd5fbbd13f05bec47111600f6cf_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) QM200-2V
              ","
$ 1 422
                                                             
                                                                                   125 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/8/e/28e85cb839be06df6d2209b3f1f5c238_240x180.jpg,        мотоцикл                    
"
        CRZ Freestyle
              ","
$ 1 535
                                                             
                                                                                   135 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/c/7/0c7ed39ad55f45437c0789679575b45f_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX 600 F
              ","
$ 3 298
                                                             
                                                                                   290 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/a/a/daaff7bf2eb7f15bf248efe20d806b64_240x180.jpg,        мотоцикл                    
"
        Suzuki GSF 650 Bandit
              ","
$ 7 200
                                                             
                                                                                   633 024 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/d/e/fdea5328b8e59f2e0c8dd83eb638530c_240x180.jpg,        мотоцикл                    
"
        Daelim VT 125
              ","
$ 455
                                                             
                                                                                   40 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/4/6/6467436dfcebde263c028fc0e2f30df9_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 4 700
                                                             
                                                                                   413 224 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/f/6/bf6d4b61702eef873114e7f55ffcf827_240x180.jpg,        мотоцикл                    
"
        Suzuki GSF 650 Bandit
              ","
$ 5 900
                                                             
                                                                                   518 728 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/0/1/6019ad807f489c36fb8d325dfdb4025b_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 7 900
                                                             
                                                                                   694 568 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/a/5/0a5da479588450a5bde16656133e4c91_240x180.jpg,        мотоцикл                    
"
        Kawasaki VN 900
              ","
$ 6 000
                                                             
                                                                                   527 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/1/4/b1498e68e02484f8a9b0f9a192c75d94_240x180.jpg,        мотоцикл                    
"
        Honda CB 500
              ","
$ 4 500
                                                             
                                                                                   395 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/e/6/ae67d21e263f0e7a239bdcab2c8711c9_240x180.jpg,        мотоцикл                    
"
        Yamaha YZ 450F
              ","
$ 5 000
                                                             
                                                                                   439 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/2/9/1294fb02e79fc4d427f6e023209aa348_240x180.jpg,        мотоцикл                    
"
        Zongshen ZS250GS
              ","
$ 1 479
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/d/3/4d33a0efcf42c2d4fa37bd17b0f35c77_240x180.jpg,        мотоцикл                    
"
        Jawa 350
              ","
$ 1 820
                                                             
                                                                                   160 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/8/1/b8195913dff57b935179eaa2828e1796_240x180.jpg,        мотоцикл                    
"
        Урал М 100
              ","
$ 1 137
                                                             
                                                                                   100 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/a/5/3a502da7c36d76c7020babff30508300_240x180.jpg,        мотоцикл                    
"
        С-Мото Пегас
              ","
$ 430
                                                             
                                                                                   37 806 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/8/0/c80906b9a207f96fe697b1d897edbd08_240x180.jpg,        скутер                    
"
        Yamaha Jog
              ","
$ 569
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/b/c/fbc092aba117ea3c5ff1103e32cb6ebf_240x180.jpg,        скутер                    
"
        BMW R 1200 GS
              ","
$ 6 000
                                                             
                                                                                   527 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/6/e/76e994cf58340c12b3fb6fa08f2a3a98_240x180.jpg,        мотоцикл                    
